LAUS Code,State FIPS,County FIPS,County Name/State Abbreviation,Period,Force,Employed,Unemployed,rate
CN4901900000000,49,019,"Grand County, UT",Feb-20,"5,756     ","5,297     ",459     ,8.0
CN4902100000000,49,021,"Iron County, UT",Feb-20,"25,264     ","24,479     ",785     ,3.1
CN4902300000000,49,023,"Juab County, UT",Feb-20,"5,880     ","5,714     ",166     ,2.8
CN4902500000000,49,025,"Kane County, UT",Feb-20,"3,596     ","3,461     ",135     ,3.8
CN4902700000000,49,027,"Millard County, UT",Feb-20,"5,964     ","5,784     ",180     ,3.0
CN4902900000000,49,029,"Morgan County, UT",Feb-20,"5,627     ","5,480     ",147     ,2.6
CN4903100000000,49,031,"Piute County, UT",Feb-20,479     ,450     ,29     ,6.1
CN4903300000000,49,033,"Rich County, UT",Feb-20,959     ,911     ,48     ,5.0
CN4903500000000,49,035,"Salt Lake County, UT",Feb-20,"645,226     ","627,701     ","17,525     ",2.7
CN4903700000000,49,037,"San Juan County, UT",Feb-20,"5,594     ","5,182     ",412     ,7.4
CN4903900000000,49,039,"Sanpete County, UT",Feb-20,"12,457     ","12,005     ",452     ,3.6
CN4904100000000,49,041,"Sevier County, UT",Feb-20,"9,699     ","9,328     ",371     ,3.8
CN4904300000000,49,043,"Summit County, UT",Feb-20,"27,281     ","26,684     ",597     ,2.2
CN4904500000000,49,045,"Tooele County, UT",Feb-20,"34,536     ","33,522     ","1,014     ",2.9
CN4904700000000,49,047,"Uintah County, UT",Feb-20,"13,494     ","12,728     ",766     ,5.7
CN4904900000000,49,049,"Utah County, UT",Feb-20,"315,559     ","307,596     ","7,963     ",2.5
CN4905100000000,49,051,"Wasatch County, UT",Feb-20,"16,670     ","16,206     ",464     ,2.8
CN4905300000000,49,053,"Washington County, UT",Feb-20,"77,990     ","75,345     ","2,645     ",3.4
CN4905500000000,49,055,"Wayne County, UT",Feb-20,"1,355     ","1,211     ",144     ,10.6
CN4905700000000,49,057,"Weber County, UT",Feb-20,"129,288     ","125,196     ","4,092     ",3.2
CN5000100000000,50,001,"Addison County, VT",Feb-20,"20,084     ","19,542     ",542     ,2.7
CN5000300000000,50,003,"Bennington County, VT",Feb-20,"17,785     ","17,222     ",563     ,3.2
CN5000500000000,50,005,"Caledonia County, VT",Feb-20,"14,159     ","13,644     ",515     ,3.6
CN5000700000000,50,007,"Chittenden County, VT",Feb-20,"94,628     ","92,935     ","1,693     ",1.8
CN5000900000000,50,009,"Essex County, VT",Feb-20,"2,632     ","2,517     ",115     ,4.4
CN5001100000000,50,011,"Franklin County, VT",Feb-20,"26,769     ","26,053     ",716     ,2.7
CN5001300000000,50,013,"Grand Isle County, VT",Feb-20,"3,996     ","3,853     ",143     ,3.6
CN5001500000000,50,015,"Lamoille County, VT",Feb-20,"13,887     ","13,370     ",517     ,3.7
CN5001700000000,50,017,"Orange County, VT",Feb-20,"15,723     ","15,211     ",512     ,3.3
CN5001900000000,50,019,"Orleans County, VT",Feb-20,"13,370     ","12,602     ",768     ,5.7
CN5002100000000,50,021,"Rutland County, VT",Feb-20,"30,029     ","29,180     ",849     ,2.8
CN5002300000000,50,023,"Washington County, VT",Feb-20,"34,324     ","33,458     ",866     ,2.5
CN5002500000000,50,025,"Windham County, VT",Feb-20,"21,880     ","21,360     ",520     ,2.4
CN5002700000000,50,027,"Windsor County, VT",Feb-20,"28,869     ","28,279     ",590     ,2.0
CN5100100000000,51,001,"Accomack County, VA",Feb-20,"16,485     ","15,771     ",714     ,4.3
CN5100300000000,51,003,"Albemarle County, VA",Feb-20,"59,054     ","57,745     ","1,309     ",2.2
CN5100500000000,51,005,"Alleghany County, VA",Feb-20,"6,973     ","6,678     ",295     ,4.2
CN5100700000000,51,007,"Amelia County, VA",Feb-20,"6,439     ","6,234     ",205     ,3.2
CN5100900000000,51,009,"Amherst County, VA",Feb-20,"15,189     ","14,689     ",500     ,3.3
CN5101100000000,51,011,"Appomattox County, VA",Feb-20,"7,253     ","6,974     ",279     ,3.8
CN5101300000000,51,013,"Arlington County, VA",Feb-20,"158,455     ","155,616     ","2,839     ",1.8
CN5101500000000,51,015,"Augusta County, VA",Feb-20,"38,381     ","37,502     ",879     ,2.3
CN5101700000000,51,017,"Bath County, VA",Feb-20,"2,530     ","2,459     ",71     ,2.8
CN5101900000000,51,019,"Bedford County, VA",Feb-20,"38,830     ","37,702     ","1,128     ",2.9
CN5102100000000,51,021,"Bland County, VA",Feb-20,"2,912     ","2,818     ",94     ,3.2
CN5102300000000,51,023,"Botetourt County, VA",Feb-20,"17,659     ","17,203     ",456     ,2.6
CN5102500000000,51,025,"Brunswick County, VA",Feb-20,"6,044     ","5,760     ",284     ,4.7
CN5102700000000,51,027,"Buchanan County, VA",Feb-20,"6,733     ","6,264     ",469     ,7.0
CN5102900000000,51,029,"Buckingham County, VA",Feb-20,"6,671     ","6,363     ",308     ,4.6
CN5103100000000,51,031,"Campbell County, VA",Feb-20,"26,275     ","25,419     ",856     ,3.3
CN5103300000000,51,033,"Caroline County, VA",Feb-20,"15,701     ","15,185     ",516     ,3.3
CN5103500000000,51,035,"Carroll County, VA",Feb-20,"13,561     ","12,924     ",637     ,4.7
CN5103600000000,51,036,"Charles City County, VA",Feb-20,"3,757     ","3,633     ",124     ,3.3
CN5103700000000,51,037,"Charlotte County, VA",Feb-20,"5,319     ","5,121     ",198     ,3.7
CN5104100000000,51,041,"Chesterfield County, VA",Feb-20,"192,727     ","187,710     ","5,017     ",2.6
CN5104300000000,51,043,"Clarke County, VA",Feb-20,"7,766     ","7,590     ",176     ,2.3
CN5104500000000,51,045,"Craig County, VA",Feb-20,"2,324     ","2,258     ",66     ,2.8
CN5104700000000,51,047,"Culpeper County, VA",Feb-20,"25,262     ","24,566     ",696     ,2.8
CN5104900000000,51,049,"Cumberland County, VA",Feb-20,"4,722     ","4,572     ",150     ,3.2
CN5105100000000,51,051,"Dickenson County, VA",Feb-20,"4,856     ","4,556     ",300     ,6.2
CN5105300000000,51,053,"Dinwiddie County, VA",Feb-20,"14,024     ","13,574     ",450     ,3.2
CN5105700000000,51,057,"Essex County, VA",Feb-20,"5,564     ","5,337     ",227     ,4.1
CN5105900000000,51,059,"Fairfax County, VA",Feb-20,"651,529     ","637,718     ","13,811     ",2.1
CN5106100000000,51,061,"Fauquier County, VA",Feb-20,"38,135     ","37,244     ",891     ,2.3
CN5106300000000,51,063,"Floyd County, VA",Feb-20,"8,417     ","8,167     ",250     ,3.0
CN5106500000000,51,065,"Fluvanna County, VA",Feb-20,"14,396     ","14,072     ",324     ,2.3
CN5106700000000,51,067,"Franklin County, VA",Feb-20,"26,795     ","25,953     ",842     ,3.1
